Unnamed: 0,Objektart,Name,Link,Address
7,Theater,Cabaret Queue,http://www.cabaretqueue.de/,"Hermannstraße 74, Dortmund"
8,Theater,Märchenbühne im Wasserschloss Haus Rodenberg,http://www.die-maerchenbuehne.de/,"Rodenbergstraße 36, Dortmund"
9,Veranstaltungshalle,Warsteiner Music Hall,,"Phoenixplatz 4, Dortmund"
10,Theater,Theater Dortmund,https://www.theaterdo.de/startseite/,"Theaterkarree 1-3, Dortmund"
11,KultureinrichtungSonstiges,Langer August e.V.,http://www.langer-august.de/was.html,"Braunschweiger Straße 22, Dortmund"
12,Spielbank,Casino Hohensyburg,,"Hohensyburgstraße 200, Dortmund"
13,Galerie,Torhaus Rombergpark Städtische Kunstgalerie,http://www.dortmund.de/de/freizeit_und_kultur/kulturbuero/ausstellungen_kb/torhausrombergpark/index.html,"Am Rombergpark 65, Dortmund"
14,Theater,Theater Dortmund,https://www.theaterdo.de/startseite/,"Theaterkarree 1-3, Dortmund"
15,KultureinrichtungSonstiges,Harenberg City-Center,,"Königswall 21, Dortmund"
16,Kindertheater,Theater Dortmund,https://www.theaterdo.de/startseite/,"Sckellstraße 5-7, Dortmund"
17,Opernhaus,Theater Dortmund,https://www.theaterdo.de/startseite/,"Platz der alten Synagoge 1, Dortmund"
18,Theater,Theater im Depot,http://depotdortmund.de/,"Immermannstraße 29, Dortmund"
19,Veranstaltungshalle,Reinoldinum,https://www.ev-kirche-dortmund.de/start.html,"Schwanenwall 34, Dortmund"
20,KultureinrichtungSonstiges,Kulturort DEPOT,http://www.depotdortmund.de/,"Immermannstraße  29, Dortmund"
21,Veranstaltungshalle,Werksaal der Dortmunder Stadtwerke AG,,"Deggingstraße 40, Dortmund"
22,KultureinrichtungSonstiges,domicil,http://www.domicil-dortmund.de,"Hansastraße 7-11, Dortmund"
23,TheaterMusikSonstiges,Pädagogisches Zentrum Hombruch,,"Am Hombruchsfeld 55A, Dortmund"
24,Veranstaltungshalle,Berswordthalle,,"Kleppingstraße 37, Dortmund"
25,KultureinrichtungSonstiges,Wichern,http://www.wichern.net/,"Stollenstraße 36, Dortmund"
26,KultureinrichtungSonstiges,Stadtteilzentrum Adlerstrasse e.V.,,"Adlerstraße 81, Dortmund"
27,Theater,Theater Fletch Bizzel,https://www.fletch-bizzel.de/,"Humboldtstraße 45, Dortmund"
